iter	Passed	Remaining
0	0	98
1	2	107
2	3	97
3	3	95
4	5	95
5	5	92
6	7	96
7	8	95
8	9	94
9	10	94
10	11	96
11	12	93
12	13	91
13	14	90
14	15	88
15	16	87
16	18	88
17	19	87
18	20	86
19	21	86
20	22	84
21	23	83
22	24	82
23	25	81
24	26	80
25	27	79
26	29	78
27	30	77
28	31	76
29	32	75
30	33	74
31	34	73
32	36	73
33	37	73
34	39	72
35	40	72
36	41	70
37	42	69
38	43	68
39	44	67
40	45	65
41	46	64
42	47	63
43	48	61
44	49	60
45	50	58
46	51	58
47	52	56
48	53	55
49	54	54
50	55	53
51	56	52
52	57	51
53	58	49
54	59	48
55	60	47
56	61	46
57	62	44
58	62	43
59	63	42
60	64	41
61	65	40
62	66	39
63	67	37
64	68	36
65	69	35
66	69	34
67	70	33
68	71	32
69	72	31
70	73	29
71	74	28
72	74	27
73	75	26
74	76	25
75	77	24
76	78	23
77	78	22
78	79	21
79	80	20
80	81	19
81	82	18
82	83	17
83	83	15
84	84	14
85	85	13
86	86	12
87	86	11
88	87	10
89	88	9
90	89	8
91	90	7
92	90	6
93	91	5
94	92	4
95	93	3
96	93	2
97	94	1
98	95	0
99	96	0
