iter	Passed	Remaining
0	1	1327
1	2	1297
2	3	1173
3	4	1207
4	6	1196
5	7	1163
6	8	1174
7	9	1157
8	10	1144
9	11	1120
10	12	1136
11	13	1130
12	14	1121
13	15	1103
14	16	1090
15	17	1089
16	18	1082
17	19	1083
18	21	1092
19	22	1083
20	23	1088
21	24	1076
22	25	1064
23	25	1055
24	27	1056
25	28	1050
26	29	1047
27	29	1038
28	30	1028
29	31	1019
30	32	1011
31	33	1002
32	34	997
33	36	1025
34	36	1018
35	37	1015
36	38	1010
37	39	1005
38	40	1002
39	41	997
40	42	998
41	43	999
42	44	999
43	45	992
44	46	988
45	47	984
46	48	979
47	49	973
48	50	978
49	51	977
50	52	977
51	53	974
52	54	973
53	55	970
54	56	969
55	57	971
56	59	980
57	60	979
58	61	977
59	62	980
60	63	979
61	64	979
62	66	983
63	67	981
64	68	981
65	69	980
66	70	977
67	71	974
68	72	972
69	73	974
70	74	974
71	75	974
72	76	973
73	77	972
74	78	969
75	79	968
76	80	968
77	81	968
78	83	974
79	84	974
80	85	970
81	86	966
82	87	961
83	88	959
84	88	957
85	89	955
86	90	952
87	91	948
88	92	946
89	93	943
90	94	943
91	95	942
92	96	940
93	97	942
94	98	941
95	99	941
96	100	938
97	102	939
98	103	938
99	104	938
100	105	936
101	106	934
102	107	934
103	108	932
104	109	932
105	110	933
106	111	932
107	112	930
108	113	929
109	114	928
110	115	926
111	116	924
112	117	923
113	118	923
114	119	922
115	120	920
116	121	917
117	122	916
118	123	915
119	124	915
120	125	914
121	126	911
122	127	910
123	128	910
124	129	909
125	130	907
126	131	905
127	132	905
128	134	904
129	135	903
130	135	901
131	136	900
132	137	899
133	138	897
134	140	899
135	141	898
136	142	896
137	143	897
138	144	896
139	145	895
140	146	893
141	147	891
142	148	891
143	149	890
144	150	889
145	151	887
146	153	888
147	154	887
148	155	888
149	156	887
150	157	886
151	158	885
152	159	884
153	160	882
154	161	881
155	162	881
156	163	880
157	164	878
158	165	877
159	166	876
160	167	874
161	169	874
162	170	876
163	171	875
164	172	874
165	173	873
166	174	872
167	175	870
168	177	870
169	178	869
170	179	868
171	180	866
172	181	865
173	182	865
174	183	863
175	184	864
176	185	864
177	186	862
178	187	861
179	189	861
180	189	859
181	190	857
182	192	858
183	193	857
184	194	856
185	195	854
186	196	853
187	197	852
188	198	851
189	199	852
190	201	851
191	202	851
192	203	850
193	204	849
194	205	848
195	206	848
196	207	847
197	208	846
198	209	844
199	210	843
200	211	841
201	212	840
202	213	838
203	215	839
204	216	838
205	217	837
206	218	836
207	219	835
208	220	834
209	221	832
210	222	832
211	223	831
212	224	830
213	225	828
214	226	827
215	227	826
216	228	825
217	230	826
218	231	826
219	232	824
220	233	823
221	234	822
222	235	821
223	236	820
224	238	820
225	239	818
226	240	817
227	241	816
228	242	815
229	243	813
230	244	813
231	245	814
232	246	812
233	248	812
234	249	811
235	250	810
236	251	808
237	252	808
238	253	807
239	254	806
240	255	805
241	256	804
242	258	803
243	258	802
244	260	803
245	262	803
246	263	801
247	264	800
248	265	799
249	266	798
250	267	797
251	268	796
252	269	795
253	270	794
254	271	792
255	272	791
256	273	790
257	274	789
258	276	789
259	277	789
260	278	787
261	279	787
262	280	785
263	281	784
264	282	784
265	283	783
266	284	781
267	285	780
268	286	779
269	287	777
270	288	776
271	289	775
272	291	775
273	292	773
274	293	772
275	294	771
276	295	770
277	296	769
278	297	768
279	298	767
280	299	765
281	300	764
282	301	763
283	302	761
284	303	760
285	304	759
286	305	759
287	306	758
288	307	757
289	308	756
290	309	755
291	310	753
292	311	752
293	313	751
294	314	750
295	315	749
296	316	748
297	317	746
298	318	745
299	319	744
300	320	744
301	321	744
302	322	742
303	324	742
304	325	741
305	326	739
306	327	739
307	328	738
308	329	736
309	330	735
310	331	734
311	332	732
312	333	731
313	334	730
314	335	730
315	336	729
316	337	728
317	339	727
318	340	726
319	341	725
320	342	724
321	343	723
322	344	722
323	345	721
324	346	720
325	347	718
326	348	717
327	349	716
328	351	716
329	352	714
330	353	714
331	354	713
332	355	712
333	356	711
334	358	711
335	359	710
336	360	708
337	361	707
338	362	706
339	363	704
340	364	703
341	365	702
342	366	702
343	367	701
344	369	700
345	370	699
346	371	698
347	371	696
348	373	696
349	374	695
350	375	694
351	376	692
352	377	691
353	378	690
354	379	688
355	380	688
356	381	687
357	382	685
358	383	684
359	384	683
360	385	682
361	386	681
362	387	680
363	388	679
364	389	678
365	390	676
366	391	675
367	392	674
368	393	673
369	394	672
370	396	672
371	397	670
372	398	669
373	399	668
374	400	667
375	401	666
376	402	665
377	403	664
378	404	663
379	405	661
380	406	660
381	407	659
382	408	658
383	409	657
384	411	657
385	412	656
386	413	655
387	414	654
388	415	653
389	416	651
390	418	651
391	419	650
392	420	649
393	421	647
394	422	646
395	423	645
396	424	644
397	425	643
398	426	642
399	427	641
400	428	640
401	429	639
402	430	637
403	431	636
404	432	635
405	433	634
406	434	633
407	435	632
408	436	630
409	437	629
410	438	628
411	439	627
412	441	627
413	442	626
414	443	624
415	444	623
416	445	623
417	446	621
418	448	621
419	449	620
420	450	619
421	451	617
422	452	616
423	452	615
424	453	614
425	454	613
426	456	612
427	457	611
428	458	610
429	459	609
430	460	608
431	461	607
432	462	606
433	463	605
434	464	603
435	465	602
436	466	601
437	467	600
438	468	599
439	470	598
440	471	597
441	472	596
442	473	595
443	474	593
444	475	592
445	476	591
446	477	590
447	478	589
448	479	588
449	480	586
450	481	585
451	482	584
452	483	583
453	484	582
454	485	581
455	486	580
456	487	579
457	488	578
458	489	577
459	490	576
460	492	575
461	493	574
462	494	573
463	495	571
464	496	570
465	497	569
466	498	568
467	500	568
468	501	567
469	502	566
470	503	565
471	504	564
472	505	563
473	506	562
474	507	561
475	508	560
476	509	558
477	510	557
478	511	556
479	512	555
480	513	554
481	515	553
482	516	552
483	517	551
484	518	550
485	519	549
486	520	548
487	522	547
488	523	546
489	524	545
490	525	544
491	526	543
492	527	542
493	528	541
494	529	540
495	530	539
496	532	538
497	533	537
498	534	536
499	535	535
500	536	533
501	537	533
502	538	531
503	539	530
504	540	529
505	541	528
506	542	527
507	543	526
508	545	526
509	546	525
510	547	524
511	548	523
512	549	521
513	550	520
514	551	519
515	553	518
516	554	517
517	555	516
518	556	515
519	557	514
520	558	513
521	559	512
522	560	511
523	561	510
524	562	509
525	563	508
526	564	506
527	565	505
528	567	504
529	568	503
530	569	502
531	570	501
532	570	500
533	571	499
534	572	497
535	573	496
536	575	496
537	576	494
538	577	493
539	578	492
540	579	491
541	580	490
542	581	489
543	582	488
544	583	487
545	584	486
546	585	484
547	586	483
548	587	482
549	588	481
550	589	480
551	591	479
552	592	478
553	593	477
554	594	476
555	595	475
556	596	474
557	597	473
558	598	472
559	599	471
560	600	469
561	601	468
562	602	467
563	603	466
564	604	465
565	605	464
566	606	463
567	607	462
568	608	461
569	609	459
570	610	458
571	611	457
572	612	456
573	613	455
574	614	454
575	615	453
576	616	452
577	617	450
578	618	449
579	619	448
580	621	447
581	622	446
582	623	445
583	624	444
584	625	443
585	626	442
586	627	441
587	628	440
588	629	439
589	630	438
590	631	437
591	632	436
592	633	435
593	635	434
594	636	433
595	637	432
596	638	431
597	639	430
598	640	429
599	641	427
600	643	426
601	644	425
602	645	424
603	645	423
604	646	422
605	647	421
606	648	420
607	650	419
608	651	418
609	652	417
610	653	416
611	654	414
612	655	413
613	656	412
614	657	411
615	658	410
616	659	409
617	660	408
618	661	407
619	662	406
620	663	405
621	665	404
622	666	403
623	667	402
624	668	400
625	669	399
626	670	398
627	671	397
628	672	396
629	673	395
630	674	394
631	675	393
632	676	392
633	677	391
634	678	390
635	680	389
636	681	388
637	682	387
638	683	386
639	684	385
640	685	384
641	686	382
642	687	381
643	688	380
644	689	379
645	690	378
646	691	377
647	692	376
648	693	375
649	695	374
650	696	373
651	697	372
652	698	371
653	699	370
654	700	368
655	701	367
656	702	366
657	703	365
658	704	364
659	705	363
660	706	362
661	707	361
662	708	360
663	709	358
664	710	358
665	711	356
666	712	355
667	714	354
668	714	353
669	715	352
670	717	351
671	718	350
672	719	349
673	720	348
674	721	347
675	722	346
